2023-04-01 14:54:46,230 INFO    MainThread:23655 [wandb_setup.py:_flush():76] Configure stats pid to 23655
2023-04-01 14:54:46,231 INFO    MainThread:23655 [wandb_setup.py:_flush():76] Loading settings from /home/hosna/.config/wandb/settings
2023-04-01 14:54:46,231 INFO    MainThread:23655 [wandb_setup.py:_flush():76] Loading settings from /home/hosna/hosna_study/wandb/settings
2023-04-01 14:54:46,231 INFO    MainThread:23655 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-04-01 14:54:46,231 INFO    MainThread:23655 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-04-01 14:54:46,231 INFO    MainThread:23655 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': '/home/hosna/hosna_study/main.py'}
2023-04-01 14:54:46,231 INFO    MainThread:23655 [wandb_init.py:_log_setup():506] Logging user logs to /home/hosna/hosna_study/wandb/run-20230401_145446-i9ypmpnv/logs/debug.log
2023-04-01 14:54:46,231 INFO    MainThread:23655 [wandb_init.py:_log_setup():507] Logging internal logs to /home/hosna/hosna_study/wandb/run-20230401_145446-i9ypmpnv/logs/debug-internal.log
2023-04-01 14:54:46,231 INFO    MainThread:23655 [wandb_init.py:init():546] calling init triggers
2023-04-01 14:54:46,231 INFO    MainThread:23655 [wandb_init.py:init():552] wandb.init called with sweep_config: {}
config: {}
2023-04-01 14:54:46,231 INFO    MainThread:23655 [wandb_init.py:init():602] starting backend
2023-04-01 14:54:46,231 INFO    MainThread:23655 [wandb_init.py:init():606] setting up manager
2023-04-01 14:54:46,233 INFO    MainThread:23655 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-04-01 14:54:46,234 INFO    MainThread:23655 [wandb_init.py:init():613] backend started and connected
2023-04-01 14:54:46,238 INFO    MainThread:23655 [wandb_init.py:init():701] updated telemetry
2023-04-01 14:54:46,239 INFO    MainThread:23655 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2023-04-01 14:54:46,353 INFO    MainThread:23655 [wandb_run.py:_on_init():2133] communicating current version
2023-04-01 14:54:46,425 INFO    MainThread:23655 [wandb_run.py:_on_init():2142] got version response 
2023-04-01 14:54:46,425 INFO    MainThread:23655 [wandb_init.py:init():789] starting run threads in backend
2023-04-01 14:54:47,939 INFO    MainThread:23655 [wandb_run.py:_console_start():2114] atexit reg
2023-04-01 14:54:47,939 INFO    MainThread:23655 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-04-01 14:54:47,939 INFO    MainThread:23655 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-04-01 14:54:47,940 INFO    MainThread:23655 [wandb_run.py:_redirect():2059] Redirects installed.
2023-04-01 14:54:47,940 INFO    MainThread:23655 [wandb_init.py:init():831] run started, returning control to user process
2023-04-01 14:55:55,118 WARNING MsgRouterThr:23655 [router.py:message_loop():77] message_loop has been closed
